"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2005-2006",NA,"Albemarle County","All Students","Algebra I",98.91,274
"2005-2006",NA,"Albemarle County","All Students","Geometry",100,132
"2005-2006",NA,"Albemarle County","All Students","Mathematics",85.22,893
"2005-2006",NA,"Albemarle County","Economically Advantaged","Algebra I",99.23,260
"2005-2006",NA,"Albemarle County","Economically Advantaged","Geometry",100,129
"2005-2006",NA,"Albemarle County","Economically Advantaged","Mathematics",89.48,770
"2005-2006",NA,"Albemarle County","Economically Disadvantaged","Algebra I",92.86,14
"2005-2006",NA,"Albemarle County","Economically Disadvantaged","Geometry",NA,NA
"2005-2006",NA,"Albemarle County","Economically Disadvantaged","Mathematics",58.54,123
"2005-2006",NA,"Albemarle County","Non-English Learners","Algebra I",98.87,266
"2005-2006",NA,"Albemarle County","Non-English Learners","Geometry",100,128
"2005-2006",NA,"Albemarle County","Non-English Learners","Mathematics",85.48,854
"2005-2006",NA,"Albemarle County","English Learners","Algebra I",NA,NA
"2005-2006",NA,"Albemarle County","English Learners","Geometry",NA,NA
"2005-2006",NA,"Albemarle County","English Learners","Mathematics",77.14,35
"2005-2006",NA,"Albemarle County","Unknown Race","Algebra I",NA,NA
"2005-2006",NA,"Albemarle County","Unknown Race","Mathematics",NA,NA
"2005-2006",NA,"Albemarle County","American Indian","Geometry",NA,NA
"2005-2006",NA,"Albemarle County","American Indian","Mathematics",NA,NA
"2005-2006",NA,"Albemarle County","Asian","Algebra I",100,16
"2005-2006",NA,"Albemarle County","Asian","Geometry",100,11
"2005-2006",NA,"Albemarle County","Asian","Mathematics",97.56,41
"2005-2006",NA,"Albemarle County","Black","Algebra I",92.86,14
"2005-2006",NA,"Albemarle County","Black","Geometry",NA,NA
"2005-2006",NA,"Albemarle County","Black","Mathematics",60.87,115
"2005-2006",NA,"Albemarle County","Hispanic","Algebra I",NA,NA
"2005-2006",NA,"Albemarle County","Hispanic","Geometry",NA,NA
"2005-2006",NA,"Albemarle County","Hispanic","Mathematics",78.57,28
"2005-2006",NA,"Albemarle County","White","Algebra I",99.17,240
"2005-2006",NA,"Albemarle County","White","Geometry",100,115
"2005-2006",NA,"Albemarle County","White","Mathematics",88.81,706
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Algebra I",95,60
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Geometry",100,15
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Mathematics",80.12,171
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Algebra I",96.61,59
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Algebra I",NA,NA
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Geometry",100,15
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Mathematics",84.25,146
"2005-2006",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Mathematics",56,25
