School Year,Division Number,Division Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2005-2006,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             274,    98.91
2005-2006,2,Albemarle County ,Mathematics,8,SOL,Geometry,             132,100.00
2005-2006,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             893,    85.22
2006-2007,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             279,    99.28
2006-2007,2,Albemarle County ,Mathematics,8,SOL,Geometry,             138,100.00
2006-2007,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             457,    67.83
2007-2008,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             282,100.00
2007-2008,2,Albemarle County ,Mathematics,8,SOL,Geometry,             167,100.00
2007-2008,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             410,    83.41
2008-2009,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             289,100.00
2008-2009,2,Albemarle County ,Mathematics,8,SOL,Geometry,             177,100.00
2008-2009,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             399,    92.23
2009-2010,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             328,100.00
2009-2010,2,Albemarle County ,Mathematics,8,SOL,Geometry,             188,100.00
2009-2010,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             335,    90.15
2010-2011,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             362,100.00
2010-2011,2,Albemarle County ,Mathematics,8,SOL,Geometry,             183,    99.45
2010-2011,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             390,    88.46
2011-2012,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             344,    95.64
2011-2012,2,Albemarle County ,Mathematics,8,SOL,Geometry,             222,100.00
2011-2012,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             329,    67.48
2012-2013,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             345,    95.94
2012-2013,2,Albemarle County ,Mathematics,8,SOL,Geometry,             257,100.00
2012-2013,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             331,    53.47
2013-2014,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             405,    95.80
2013-2014,2,Albemarle County ,Mathematics,8,SOL,Geometry,             253,100.00
2013-2014,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             313,    58.15
2014-2015,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             393,    96.69
2014-2015,2,Albemarle County ,Mathematics,8,SOL,Geometry,             225,100.00
2014-2015,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             312,    57.37
2015-2016,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             354,    93.50
2015-2016,2,Albemarle County ,Mathematics,8,SOL,Geometry,             249,100.00
2015-2016,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             357,    57.14
2016-2017,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             357,    94.40
2016-2017,2,Albemarle County ,Mathematics,8,SOL,Geometry,             247,100.00
2016-2017,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             328,    65.85
2017-2018,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             364,    94.51
2017-2018,2,Albemarle County ,Mathematics,8,SOL,Geometry,             248,100.00
2017-2018,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             358,    56.42
2018-2019,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             401,    97.76
2018-2019,2,Albemarle County ,Mathematics,8,SOL,Geometry,             268,100.00
2018-2019,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             341,    65.40
2020-2021,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             208,    71.63
2020-2021,2,Albemarle County ,Mathematics,8,SOL,Geometry,             144,    94.44
2020-2021,2,Albemarle County ,Mathematics,8,SOL,Mathematics,              61,    16.39
2021-2022,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             341,    87.68
2021-2022,2,Albemarle County ,Mathematics,8,SOL,Geometry,             303,    98.68
2021-2022,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             398,    30.40
2022-2023,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             323,    90.09
2022-2023,2,Albemarle County ,Mathematics,8,SOL,Geometry,             273,    98.90
2022-2023,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             434,    37.79
2023-2024,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             240,    90.42
2023-2024,2,Albemarle County ,Mathematics,8,SOL,Geometry,             297,    95.96
2023-2024,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             403,    41.44
2024-2025,2,Albemarle County ,Mathematics,8,SOL,Algebra I,             286,    88.81
2024-2025,2,Albemarle County ,Mathematics,8,SOL,Geometry,             267,    96.63
2024-2025,2,Albemarle County ,Mathematics,8,SOL,Mathematics,             423,    46.57
