School Year,Division Number,Division Name,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2005-2006,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             266,    98.87
2005-2006,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             128,100.00
2005-2006,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             854,    85.48
2005-2006,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              35,    77.14
2006-2007,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             270,    99.26
2006-2007,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             131,100.00
2006-2007,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             428,    68.22
2006-2007,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              22,    63.64
2007-2008,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             268,100.00
2007-2008,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             161,100.00
2007-2008,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             379,    83.11
2007-2008,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2007-2008,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2007-2008,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              29,    86.21
2008-2009,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             281,100.00
2008-2009,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             171,100.00
2008-2009,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             364,    91.76
2008-2009,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2008-2009,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2008-2009,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              26,    96.15
2009-2010,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             310,100.00
2009-2010,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             181,100.00
2009-2010,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             305,    90.49
2009-2010,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2009-2010,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2009-2010,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              18,    83.33
2010-2011,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             347,100.00
2010-2011,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             180,    99.44
2010-2011,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             344,    87.50
2010-2011,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2010-2011,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2010-2011,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              30,    96.67
2011-2012,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             328,    95.43
2011-2012,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             218,100.00
2011-2012,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             309,    67.96
2011-2012,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,              10,100.00
2011-2012,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2011-2012,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              20,    60.00
2012-2013,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             339,    95.87
2012-2013,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             254,100.00
2012-2013,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             304,    53.95
2012-2013,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2012-2013,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2012-2013,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              27,    48.15
2013-2014,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             388,    95.62
2013-2014,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             249,100.00
2013-2014,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             282,    58.87
2013-2014,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,              12,100.00
2013-2014,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              28,    53.57
2014-2015,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             387,    96.64
2014-2015,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             224,100.00
2014-2015,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             277,    59.57
2014-2015,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2014-2015,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              31,    38.71
2015-2016,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             339,    93.22
2015-2016,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             246,100.00
2015-2016,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             308,    58.12
2015-2016,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,              11,100.00
2015-2016,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              45,    48.89
2016-2017,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             343,    94.46
2016-2017,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             245,100.00
2016-2017,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             262,    66.03
2016-2017,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
