School Year,Division Number,Division Name,Subject,Race,Grade,Test Source,Test,Total Count,Pass Rate
2005-2006,2,Albemarle County ,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,<50
2005-2006,2,Albemarle County ,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,Mathematics,Asian,8,SOL,Algebra I,              16,100.00
2005-2006,2,Albemarle County ,Mathematics,Asian,8,SOL,Geometry,              11,100.00
2005-2006,2,Albemarle County ,Mathematics,Asian,8,SOL,Mathematics,              41,    97.56
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,              14,    92.86
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,             115,    60.87
2005-2006,2,Albemarle County ,Mathematics,Hispanic,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,Mathematics,Hispanic,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,Mathematics,Hispanic,8,SOL,Mathematics,              28,    78.57
2005-2006,2,Albemarle County ,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,             240,    99.17
2005-2006,2,Albemarle County ,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,             115,100.00
2005-2006,2,Albemarle County ,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,             706,    88.81
2006-2007,2,Albemarle County ,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,>50
