School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              60,    95.00
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              15,100.00
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,             171,    80.12
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              15,100.00
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              23,100.00
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,             103,    84.47
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              87,100.00
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              29,100.00
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,             234,    87.61
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              51,100.00
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              27,100.00
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,             164,    79.88
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              59,100.00
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              38,100.00
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,             217,    92.63
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              56,    96.43
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              26,100.00
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              87,    80.46
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              33,100.00
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              21,100.00
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              98,    56.12
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              88,100.00
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              27,100.00
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              86,    84.88
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              43,100.00
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              19,100.00
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              78,    39.74
2006-2007,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              58,100.00
2006-2007,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              45,100.00
2006-2007,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              99,    80.81
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              66,    98.48
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              29,100.00
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              73,    90.41
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              47,100.00
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              21,100.00
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              74,    90.54
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              81,100.00
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              37,100.00
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,             114,    85.96
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              37,100.00
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              27,100.00
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              83,    72.29
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              51,100.00
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              53,100.00
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              62,    82.26
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              79,100.00
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              32,100.00
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              64,    87.50
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              36,100.00
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              11,100.00
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              99,    97.98
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              79,100.00
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              60,100.00
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,             107,    94.39
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              24,100.00
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              22,100.00
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              54,    83.33
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              67,100.00
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              50,100.00
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              69,    98.55
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              70,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              37,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              55,    90.91
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              59,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              21,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              70,    94.29
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              90,100.00
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              55,100.00
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              87,    90.80
2009-2010,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              41,100.00
2009-2010,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              24,100.00
2009-2010,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              52,    82.69
2009-2010,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              68,100.00
2009-2010,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              51,100.00
2009-2010,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              65,    95.38
2010-2011,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              16,    87.50
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              91,100.00
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              42,100.00
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              72,    91.67
