School Year,Division Number,Division Name,School Number,School Name,Subject,Race,Grade,Test Source,Test,Total Count,Pass Rate
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Asian,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Asian,8,SOL,Mathematics,              16,    93.75
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              33,    51.52
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Hispanic,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Hispanic,8,SOL,Mathematics,              10,    90.00
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              49,    95.92
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              13,100.00
2005-2006,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,             112,    85.71
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              24,    62.50
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Hispanic,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,<50
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              13,100.00
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              23,100.00
2005-2006,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,              73,    91.78
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Asian,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,<,<50
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Hispanic,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              83,100.00
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              24,100.00
2005-2006,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,             218,    88.53
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              19,    73.68
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Hispanic,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Hispanic,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Hispanic,8,SOL,Mathematics,              11,    63.64
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              45,100.00
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              23,100.00
2005-2006,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,             132,    81.82
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Asian,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Asian,8,SOL,Mathematics,              13,100.00
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              33,    69.70
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Hispanic,8,SOL,Algebra I,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Hispanic,8,SOL,Geometry,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Hispanic,8,SOL,Mathematics,<,>50
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              49,100.00
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              32,100.00
2005-2006,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,             169,    96.45
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Asian,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              32,    68.75
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Hispanic,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Hispanic,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,<50
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              51,    98.04
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              17,100.00
2006-2007,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,              48,    89.58
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              32,    46.88
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Hispanic,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Hispanic,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              26,100.00
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              20,100.00
2006-2007,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,              53,    56.60
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Asian,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Hispanic,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              80,100.00
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              21,100.00
2006-2007,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,              77,    85.71
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Asian,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Asian,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,              19,<50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Hispanic,8,SOL,Algebra I,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Hispanic,8,SOL,Geometry,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Hispanic,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,<,>50
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,              35,100.00
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,              16,100.00
2006-2007,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,              51,    41.18
2006-2007,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,Asian,8,SOL,Algebra I,<,>50
