School Year,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2005-2006,Mathematics,8,SOL,Algebra I,"          23,959",    98.46
2005-2006,Mathematics,8,SOL,Geometry,"           4,818",    98.86
2005-2006,Mathematics,8,SOL,Mathematics,"          65,261",    71.13
2006-2007,Mathematics,8,SOL,Algebra I,"          24,403",    98.80
2006-2007,Mathematics,8,SOL,Geometry,"           5,516",    98.79
2006-2007,Mathematics,8,SOL,Mathematics,"          63,813",    71.85
2007-2008,Mathematics,8,SOL,Algebra I,"          26,262",    99.15
2007-2008,Mathematics,8,SOL,Geometry,"           5,993",    99.42
2007-2008,Mathematics,8,SOL,Mathematics,"          58,796",    78.82
2008-2009,Mathematics,8,SOL,Algebra I,"          30,024",    98.90
2008-2009,Mathematics,8,SOL,Geometry,"           6,461",    99.38
2008-2009,Mathematics,8,SOL,Mathematics,"          48,872",    80.41
2009-2010,Mathematics,8,SOL,Algebra I,"          33,501",    98.96
2009-2010,Mathematics,8,SOL,Geometry,"           7,709",    99.08
2009-2010,Mathematics,8,SOL,Mathematics,"          43,954",    82.15
2010-2011,Mathematics,8,SOL,Algebra I,"          35,739",    98.88
2010-2011,Mathematics,8,SOL,Geometry,"           9,018",    98.27
2010-2011,Mathematics,8,SOL,Mathematics,"          42,267",    77.21
2011-2012,Mathematics,8,SOL,Algebra I,"          38,212",    88.31
2011-2012,Mathematics,8,SOL,Geometry,"          10,460",    95.66
2011-2012,Mathematics,8,SOL,Mathematics,"          39,897",    49.36
2012-2013,Mathematics,8,SOL,Algebra I,"          35,923",    89.32
2012-2013,Mathematics,8,SOL,Geometry,"          12,319",    95.54
2012-2013,Mathematics,8,SOL,Mathematics,"          41,120",    51.04
2013-2014,Mathematics,8,SOL,Algebra I,"          36,041",    91.61
2013-2014,Mathematics,8,SOL,Geometry,"          12,032",    97.48
2013-2014,Mathematics,8,SOL,Mathematics,"          43,204",    56.59
2014-2015,Mathematics,8,SOL,Algebra I,"          35,520",    92.35
2014-2015,Mathematics,8,SOL,Geometry,"          11,662",    97.23
2014-2015,Mathematics,8,SOL,Mathematics,"          44,820",    65.67
2015-2016,Mathematics,8,SOL,Algebra I,"          35,908",    92.78
2015-2016,Mathematics,8,SOL,Geometry,"          11,732",    97.83
2015-2016,Mathematics,8,SOL,Mathematics,"          44,377",    64.47
2016-2017,Mathematics,8,SOL,Algebra I,"          36,658",    92.59
2016-2017,Mathematics,8,SOL,Geometry,"          12,024",    98.34
2016-2017,Mathematics,8,SOL,Mathematics,"          43,245",    65.06
2017-2018,Mathematics,8,SOL,Algebra I,"          36,278",    91.54
2017-2018,Mathematics,8,SOL,Geometry,"          13,203",    98.58
2017-2018,Mathematics,8,SOL,Mathematics,"          44,388",    61.77
2018-2019,Mathematics,8,SOL,Algebra I,"          35,189",    94.38
2018-2019,Mathematics,8,SOL,Geometry,"          13,214",    98.87
2018-2019,Mathematics,8,SOL,Mathematics,"          44,854",    67.59
2020-2021,Mathematics,8,SOL,Algebra I,"          26,584",    74.22
2020-2021,Mathematics,8,SOL,Geometry,"          10,356",    90.81
2020-2021,Mathematics,8,SOL,Mathematics,"          31,921",    28.50
2021-2022,Mathematics,8,SOL,Algebra I,"          30,796",    89.48
2021-2022,Mathematics,8,SOL,Geometry,"          11,836",    95.76
2021-2022,Mathematics,8,SOL,Mathematics,"          52,820",    46.02
2022-2023,Mathematics,8,SOL,Algebra I,"          32,299",    89.58
2022-2023,Mathematics,8,SOL,Geometry,"          10,426",    95.17
2022-2023,Mathematics,8,SOL,Mathematics,"          50,461",    48.42
2023-2024,Mathematics,8,SOL,Algebra I,"          32,175",    92.07
2023-2024,Mathematics,8,SOL,Geometry,"           9,844",    96.66
2023-2024,Mathematics,8,SOL,Mathematics,"          49,421",    50.09
2024-2025,Mathematics,8,SOL,Algebra I,"          31,960",    91.88
2024-2025,Mathematics,8,SOL,Geometry,"          10,580",    96.74
2024-2025,Mathematics,8,SOL,Mathematics,"          48,687",    50.47
