School Year,Subject,Grade,Disadvantaged,Test Source,Test,Total Count,Pass Rate
2005-2006,Mathematics,8,N,SOL,Algebra I,"          20,712",    98.91
2005-2006,Mathematics,8,N,SOL,Geometry,"           4,374",    99.47
2005-2006,Mathematics,8,N,SOL,Mathematics,"          41,797",    77.14
2005-2006,Mathematics,8,Y,SOL,Algebra I,"           3,247",    95.63
2005-2006,Mathematics,8,Y,SOL,Geometry,             444,    92.79
2005-2006,Mathematics,8,Y,SOL,Mathematics,"          23,464",    60.42
2006-2007,Mathematics,8,N,SOL,Algebra I,"          20,765",    99.26
2006-2007,Mathematics,8,N,SOL,Geometry,"           4,938",    99.31
2006-2007,Mathematics,8,N,SOL,Mathematics,"          39,664",    78.54
2006-2007,Mathematics,8,Y,SOL,Algebra I,"           3,638",    96.18
2006-2007,Mathematics,8,Y,SOL,Geometry,             578,    94.29
2006-2007,Mathematics,8,Y,SOL,Mathematics,"          24,149",    60.88
2007-2008,Mathematics,8,N,SOL,Algebra I,"          22,023",    99.40
2007-2008,Mathematics,8,N,SOL,Geometry,"           5,397",100.00
2007-2008,Mathematics,8,N,SOL,Mathematics,"          36,741",    84.36
2007-2008,Mathematics,8,Y,SOL,Algebra I,"           4,239",    97.90
2007-2008,Mathematics,8,Y,SOL,Geometry,             596,    96.98
2007-2008,Mathematics,8,Y,SOL,Mathematics,"          22,055",    69.58
2008-2009,Mathematics,8,N,SOL,Algebra I,"          24,176",    99.44
2008-2009,Mathematics,8,N,SOL,Geometry,"           5,693",100.00
2008-2009,Mathematics,8,N,SOL,Mathematics,"          29,309",    85.02
2008-2009,Mathematics,8,Y,SOL,Algebra I,"           5,848",    96.65
2008-2009,Mathematics,8,Y,SOL,Geometry,             768,    96.88
2008-2009,Mathematics,8,Y,SOL,Mathematics,"          19,563",    73.50
2009-2010,Mathematics,8,N,SOL,Algebra I,"          26,198",    99.34
2009-2010,Mathematics,8,N,SOL,Geometry,"           6,544",100.00
2009-2010,Mathematics,8,N,SOL,Mathematics,"          24,004",    87.35
2009-2010,Mathematics,8,Y,SOL,Algebra I,"           7,303",    97.60
2009-2010,Mathematics,8,Y,SOL,Geometry,"           1,165",    95.62
2009-2010,Mathematics,8,Y,SOL,Mathematics,"          19,950",    75.89
2010-2011,Mathematics,8,N,SOL,Algebra I,"          26,737",    99.42
2010-2011,Mathematics,8,N,SOL,Geometry,"           7,442",100.00
2010-2011,Mathematics,8,N,SOL,Mathematics,"          22,420",    83.20
2010-2011,Mathematics,8,Y,SOL,Algebra I,"           9,002",    97.28
2010-2011,Mathematics,8,Y,SOL,Geometry,"           1,576",    92.45
2010-2011,Mathematics,8,Y,SOL,Mathematics,"          19,847",    70.44
2011-2012,Mathematics,8,N,SOL,Algebra I,"          27,712",    91.80
2011-2012,Mathematics,8,N,SOL,Geometry,"           8,526",    98.12
2011-2012,Mathematics,8,N,SOL,Mathematics,"          19,808",    58.25
2011-2012,Mathematics,8,Y,SOL,Algebra I,"          10,500",    79.09
2011-2012,Mathematics,8,Y,SOL,Geometry,"           1,934",    84.80
2011-2012,Mathematics,8,Y,SOL,Mathematics,"          20,089",    40.58
