School Year,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2005-2006,Mathematics,8,N,SOL,Algebra I,"          23,227",    98.48
2005-2006,Mathematics,8,N,SOL,Geometry,"           4,749",    98.84
2005-2006,Mathematics,8,N,SOL,Mathematics,"          61,153",    72.13
2005-2006,Mathematics,8,Y,SOL,Algebra I,             530,    97.17
2005-2006,Mathematics,8,Y,SOL,Geometry,              48,100.00
2005-2006,Mathematics,8,Y,SOL,Mathematics,"           3,477",    53.21
2006-2007,Mathematics,8,N,SOL,Algebra I,"          23,564",    98.84
2006-2007,Mathematics,8,N,SOL,Geometry,"           5,393",    98.76
2006-2007,Mathematics,8,N,SOL,Mathematics,"          59,512",    72.96
2006-2007,Mathematics,8,Y,SOL,Algebra I,             596,    97.32
2006-2007,Mathematics,8,Y,SOL,Geometry,              87,100.00
2006-2007,Mathematics,8,Y,SOL,Mathematics,"           3,639",    53.45
2007-2008,Mathematics,8,N,SOL,Algebra I,"          25,230",    99.16
2007-2008,Mathematics,8,N,SOL,Geometry,"           5,888",    99.42
2007-2008,Mathematics,8,N,SOL,Mathematics,"          54,366",    79.76
2007-2008,Mathematics,8,Y,SOL,Algebra I,             710,    98.59
2007-2008,Mathematics,8,Y,SOL,Geometry,              57,    98.25
2007-2008,Mathematics,8,Y,SOL,Mathematics,"           3,758",    64.66
2008-2009,Mathematics,8,N,SOL,Algebra I,"          28,698",    98.93
2008-2009,Mathematics,8,N,SOL,Geometry,"           6,323",    99.38
2008-2009,Mathematics,8,N,SOL,Mathematics,"          44,636",    81.30
2008-2009,Mathematics,8,Y,SOL,Algebra I,             904,    97.46
2008-2009,Mathematics,8,Y,SOL,Geometry,              70,    98.57
2008-2009,Mathematics,8,Y,SOL,Mathematics,"           3,582",    68.65
2009-2010,Mathematics,8,N,SOL,Algebra I,"          31,687",    98.99
2009-2010,Mathematics,8,N,SOL,Geometry,"           7,536",    99.06
2009-2010,Mathematics,8,N,SOL,Mathematics,"          39,987",    82.86
2009-2010,Mathematics,8,Y,SOL,Algebra I,             427,    95.32
2009-2010,Mathematics,8,Y,SOL,Geometry,              18,100.00
2009-2010,Mathematics,8,Y,SOL,Mathematics,"           2,109",    64.20
2010-2011,Mathematics,8,N,SOL,Algebra I,"          33,781",    98.90
2010-2011,Mathematics,8,N,SOL,Geometry,"           8,811",    98.25
2010-2011,Mathematics,8,N,SOL,Mathematics,"          38,166",    77.66
2010-2011,Mathematics,8,Y,SOL,Algebra I,"           1,019",    97.35
2010-2011,Mathematics,8,Y,SOL,Geometry,              76,    97.37
2010-2011,Mathematics,8,Y,SOL,Mathematics,"           3,379",    69.13
2011-2012,Mathematics,8,N,SOL,Algebra I,"          35,908",    88.41
2011-2012,Mathematics,8,N,SOL,Geometry,"          10,229",    95.71
2011-2012,Mathematics,8,N,SOL,Mathematics,"          35,938",    49.69
2011-2012,Mathematics,8,Y,SOL,Algebra I,"           1,228",    79.80
2011-2012,Mathematics,8,Y,SOL,Geometry,              70,    81.43
