School Year,Subject,Race,Grade,Test Source,Test,Total Count,Pass Rate
2005-2006,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,             389,    99.49
2005-2006,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,              61,100.00
2005-2006,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,             976,    73.87
2005-2006,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,              69,    97.10
2005-2006,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              12,100.00
2005-2006,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             187,    72.19
2005-2006,Mathematics,Asian,8,SOL,Algebra I,"           2,018",    99.36
2005-2006,Mathematics,Asian,8,SOL,Geometry,             523,100.00
2005-2006,Mathematics,Asian,8,SOL,Mathematics,"           2,232",    81.81
2005-2006,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           3,464",    95.70
2005-2006,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,             632,    93.99
2005-2006,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          20,598",    60.52
2005-2006,Mathematics,Hispanic,8,SOL,Algebra I,             875,    97.60
2005-2006,Mathematics,Hispanic,8,SOL,Geometry,             105,    99.05
2005-2006,Mathematics,Hispanic,8,SOL,Mathematics,"           5,050",    60.12
2005-2006,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          17,123",    98.94
2005-2006,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           3,476",100.00
2005-2006,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          36,170",    77.95
2005-2006,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              21,100.00
2005-2006,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,<,>50
2005-2006,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              48,    77.08
2006-2007,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,             491,    98.57
2006-2007,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,              92,    95.65
2006-2007,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,"           1,222",    66.45
2006-2007,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,              84,    97.62
2006-2007,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              11,100.00
2006-2007,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             217,    76.04
2006-2007,Mathematics,Asian,8,SOL,Algebra I,"           2,109",100.00
2006-2007,Mathematics,Asian,8,SOL,Geometry,             696,100.00
2006-2007,Mathematics,Asian,8,SOL,Mathematics,"           2,211",    82.81
2006-2007,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           3,769",    97.08
2006-2007,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,             733,    94.27
2006-2007,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          20,125",    61.54
2006-2007,Mathematics,Hispanic,8,SOL,Algebra I,             987,    97.16
2006-2007,Mathematics,Hispanic,8,SOL,Geometry,             141,100.00
2006-2007,Mathematics,Hispanic,8,SOL,Mathematics,"           5,278",    60.59
2006-2007,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          16,948",    99.17
2006-2007,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           3,839",    99.45
2006-2007,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          34,725",    79.00
2006-2007,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              15,100.00
2006-2007,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,<,>50
2006-2007,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              35,    82.86
2007-2008,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,             533,    98.87
2007-2008,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,             104,    99.04
2007-2008,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,"           1,064",    74.81
2007-2008,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,              70,100.00
2007-2008,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              18,100.00
2007-2008,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             188,    86.70
2007-2008,Mathematics,Asian,8,SOL,Algebra I,"           2,102",100.00
2007-2008,Mathematics,Asian,8,SOL,Geometry,             768,100.00
2007-2008,Mathematics,Asian,8,SOL,Mathematics,"           2,069",    87.58
2007-2008,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           4,258",    98.00
2007-2008,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,             804,    97.26
2007-2008,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          18,389",    69.64
2007-2008,Mathematics,Hispanic,8,SOL,Algebra I,"           1,292",    98.76
2007-2008,Mathematics,Hispanic,8,SOL,Geometry,             172,    99.42
2007-2008,Mathematics,Hispanic,8,SOL,Mathematics,"           5,422",    70.71
2007-2008,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          17,984",    99.38
2007-2008,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           4,119",100.00
2007-2008,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          31,628",    85.05
2007-2008,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              23,100.00
2007-2008,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,<,>50
2007-2008,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              36,    80.56
2008-2009,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,             706,    99.15
2008-2009,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,             139,100.00
2008-2009,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,             997,    84.25
2008-2009,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,             106,    99.06
2008-2009,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              19,100.00
2008-2009,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             164,    83.54
2008-2009,Mathematics,Asian,8,SOL,Algebra I,"           2,281",100.00
2008-2009,Mathematics,Asian,8,SOL,Geometry,             853,100.00
2008-2009,Mathematics,Asian,8,SOL,Mathematics,"           1,669",    89.93
2008-2009,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           5,571",    97.40
2008-2009,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,             865,    96.76
2008-2009,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          14,814",    73.04
2008-2009,Mathematics,Hispanic,8,SOL,Algebra I,"           1,661",    98.49
2008-2009,Mathematics,Hispanic,8,SOL,Geometry,             211,    99.05
2008-2009,Mathematics,Hispanic,8,SOL,Mathematics,"           4,992",    73.98
2008-2009,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          19,662",    99.24
2008-2009,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           4,358",100.00
2008-2009,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          26,191",    85.03
2008-2009,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              37,100.00
2008-2009,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,              16,100.00
2008-2009,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              45,    80.00
2009-2010,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Algebra I,             776,    99.23
2009-2010,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Geometry,             191,    98.95
2009-2010,Mathematics,Unknown - Race/Ethnicity not provided,8,SOL,Mathematics,             794,    84.01
2009-2010,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,             105,100.00
2009-2010,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              27,100.00
2009-2010,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             158,    82.91
2009-2010,Mathematics,Asian,8,SOL,Algebra I,"           2,675",100.00
2009-2010,Mathematics,Asian,8,SOL,Geometry,"           1,046",100.00
2009-2010,Mathematics,Asian,8,SOL,Mathematics,"           1,520",    90.13
2009-2010,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           6,326",    98.17
2009-2010,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,"           1,156",    95.24
2009-2010,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          13,333",    75.11
2009-2010,Mathematics,Hispanic,8,SOL,Algebra I,"           2,170",    97.93
2009-2010,Mathematics,Hispanic,8,SOL,Geometry,             262,100.00
2009-2010,Mathematics,Hispanic,8,SOL,Mathematics,"           4,646",    78.17
2009-2010,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          21,417",    99.18
2009-2010,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           5,018",100.00
2009-2010,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          23,461",    86.34
2009-2010,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              32,100.00
2009-2010,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,<,>50
2009-2010,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              42,    88.10
2010-2011,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,             102,    99.02
2010-2011,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              33,100.00
2010-2011,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             154,    80.52
2010-2011,Mathematics,Asian,8,SOL,Algebra I,"           2,629",100.00
2010-2011,Mathematics,Asian,8,SOL,Geometry,"           1,192",100.00
2010-2011,Mathematics,Asian,8,SOL,Mathematics,"           1,274",    87.83
2010-2011,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           6,758",    97.63
2010-2011,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,"           1,437",    91.51
2010-2011,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          12,058",    67.82
2010-2011,Mathematics,Hispanic,8,SOL,Algebra I,"           3,070",    98.50
2010-2011,Mathematics,Hispanic,8,SOL,Geometry,             453,    97.79
2010-2011,Mathematics,Hispanic,8,SOL,Mathematics,"           5,391",    74.98
2010-2011,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          21,635",    99.21
2010-2011,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           5,431",100.00
2010-2011,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          21,812",    81.96
2010-2011,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              47,100.00
2010-2011,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,              12,100.00
2010-2011,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              54,    87.04
2010-2011,Mathematics,"Non-Hispanic, two or more races",8,SOL,Algebra I,"           1,498",    99.00
2010-2011,Mathematics,"Non-Hispanic, two or more races",8,SOL,Geometry,             460,    99.13
2010-2011,Mathematics,"Non-Hispanic, two or more races",8,SOL,Mathematics,"           1,524",    81.82
2011-2012,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,             103,    86.41
2011-2012,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              20,    90.00
2011-2012,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             141,    55.32
2011-2012,Mathematics,Asian,8,SOL,Algebra I,"           2,799",    96.68
2011-2012,Mathematics,Asian,8,SOL,Geometry,"           1,386",100.00
2011-2012,Mathematics,Asian,8,SOL,Mathematics,"           1,093",    66.24
2011-2012,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           7,344",    79.25
2011-2012,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,"           1,754",    83.81
2011-2012,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          12,077",    36.29
2011-2012,Mathematics,Hispanic,8,SOL,Algebra I,"           3,533",    84.12
2011-2012,Mathematics,Hispanic,8,SOL,Geometry,             589,    93.72
2011-2012,Mathematics,Hispanic,8,SOL,Mathematics,"           5,162",    48.28
2011-2012,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          22,809",    90.69
2011-2012,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           6,193",    98.34
2011-2012,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          19,830",    56.24
2011-2012,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              53,    90.57
2011-2012,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,              23,100.00
2011-2012,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              54,    62.96
2011-2012,Mathematics,"Non-Hispanic, two or more races",8,SOL,Algebra I,"           1,571",    90.64
2011-2012,Mathematics,"Non-Hispanic, two or more races",8,SOL,Geometry,             495,    95.35
2011-2012,Mathematics,"Non-Hispanic, two or more races",8,SOL,Mathematics,"           1,540",    53.83
2012-2013,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,             117,    77.78
2012-2013,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              32,    93.75
2012-2013,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             148,    50.68
2012-2013,Mathematics,Asian,8,SOL,Algebra I,"           2,518",    96.94
2012-2013,Mathematics,Asian,8,SOL,Geometry,"           1,665",    99.22
2012-2013,Mathematics,Asian,8,SOL,Mathematics,"           1,133",    69.11
2012-2013,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           6,347",    81.33
2012-2013,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,"           1,950",    84.15
2012-2013,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          12,935",    39.23
2012-2013,Mathematics,Hispanic,8,SOL,Algebra I,"           3,640",    85.22
2012-2013,Mathematics,Hispanic,8,SOL,Geometry,             694,    95.39
2012-2013,Mathematics,Hispanic,8,SOL,Mathematics,"           5,300",    51.02
2012-2013,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          21,635",    91.53
2012-2013,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           7,352",    97.84
2012-2013,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          19,874",    57.26
2012-2013,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              50,    82.00
2012-2013,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,              20,    95.00
2012-2013,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              56,    58.93
2012-2013,Mathematics,"Non-Hispanic, two or more races",8,SOL,Algebra I,"           1,616",    89.60
2012-2013,Mathematics,"Non-Hispanic, two or more races",8,SOL,Geometry,             606,    94.39
2012-2013,Mathematics,"Non-Hispanic, two or more races",8,SOL,Mathematics,"           1,674",    56.09
2013-2014,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,             100,    93.00
2013-2014,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              22,100.00
2013-2014,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             136,    52.94
2013-2014,Mathematics,Asian,8,SOL,Algebra I,"           2,780",    97.88
2013-2014,Mathematics,Asian,8,SOL,Geometry,"           1,759",100.00
2013-2014,Mathematics,Asian,8,SOL,Mathematics,"           1,170",    75.30
2013-2014,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           6,502",    84.57
2013-2014,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,"           1,591",    89.63
2013-2014,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          13,420",    45.01
2013-2014,Mathematics,Hispanic,8,SOL,Algebra I,"           3,812",    87.33
2013-2014,Mathematics,Hispanic,8,SOL,Geometry,             708,    96.47
2013-2014,Mathematics,Hispanic,8,SOL,Mathematics,"           6,009",    54.14
2013-2014,Mathematics,"White, not of Hispanic origin",8,SOL,Algebra I,"          21,206",    93.66
2013-2014,Mathematics,"White, not of Hispanic origin",8,SOL,Geometry,"           7,315",    98.66
2013-2014,Mathematics,"White, not of Hispanic origin",8,SOL,Mathematics,"          20,663",    63.56
2013-2014,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Algebra I,              50,    98.00
2013-2014,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Geometry,              14,    92.86
2013-2014,Mathematics,Native Hawaiian  or Pacific Islander,8,SOL,Mathematics,              51,    56.86
2013-2014,Mathematics,"Non-Hispanic, two or more races",8,SOL,Algebra I,"           1,591",    92.08
2013-2014,Mathematics,"Non-Hispanic, two or more races",8,SOL,Geometry,             623,    98.07
2013-2014,Mathematics,"Non-Hispanic, two or more races",8,SOL,Mathematics,"           1,755",    59.15
2014-2015,Mathematics,American Indian or Alaska Native,8,SOL,Algebra I,              92,    88.04
2014-2015,Mathematics,American Indian or Alaska Native,8,SOL,Geometry,              21,100.00
2014-2015,Mathematics,American Indian or Alaska Native,8,SOL,Mathematics,             150,    72.00
2014-2015,Mathematics,Asian,8,SOL,Algebra I,"           2,847",    97.61
2014-2015,Mathematics,Asian,8,SOL,Geometry,"           1,817",100.00
2014-2015,Mathematics,Asian,8,SOL,Mathematics,"           1,323",    79.44
2014-2015,Mathematics,"Black, not of Hispanic origin",8,SOL,Algebra I,"           6,118",    86.11
2014-2015,Mathematics,"Black, not of Hispanic origin",8,SOL,Geometry,"           1,582",    88.18
2014-2015,Mathematics,"Black, not of Hispanic origin",8,SOL,Mathematics,"          13,405",    54.36
